商店名稱,電話,address,商店編號,Latitude,Longitude
全家內科店,287511523,台北市內湖區洲子街６１號１樓（部份）,57501,25.0797811,121.5729685
全家瑞湖店,287524016,台北市內湖區港墘里瑞光路５１３巷３９號１樓,16082,25.0800293,121.5704091
全家港華店,287975015,台北市內湖區港華街４０號１樓,59373,25.0829932,121.5749072
全家瑞豐店,287514934,台北市內湖區瑞光路２２０號,57978,25.075456,121.575935
全家瑞亞店,226573023,台北市內湖區瑞光路３０２號１樓,59030,25.0764761,121.5742574
全家瑞興店,226591468,台北市內湖區瑞光路３０３號,55849,25.0758654,121.5760146
全家瑞智店,287518611,台北市內湖區瑞光路４３３號１樓,58709,25.0786547,121.570382
全家瑞光店,287514993,台北市內湖區瑞光路５１０號１樓,12253,25.0794177,121.5676585
全家瑞盛店,287926581,台北市內湖區瑞光路６６巷４０號,55393,25.0696006,121.5809133
全家陽鑫店,226593732,台北市內湖區瑞湖街８０號１樓Ｒ３、Ｒ４　,58636,25.0725545,121.5759688
全家新環山店,228839401,台北市內湖區環山路一段７號１樓,62274,25.0828659,121.5656867
全家金莊店,227941829,台北市內湖區石潭路６７號１樓,54027,25.0628977,121.587078
全家堤頂店,287989969,台北市內湖區舊宗路二段２０７號１樓（部份）,58160,25.07323,121.57402
全家行善公宅店,287926725,台北市內湖區行善路２６２號１樓,62211,25.0599974,121.5816131
全家明美店,227941977,台北市內湖區金莊路８６號１樓,58807,25.0633483,121.5873902
全家陽盛店,226579844,台北市內湖區陽光街３５３號１樓,60464,25.072834,121.5772287
全家湖山店,226572616,台北市內湖區麗山街３４８巷１０弄２號,11845,25.0821826,121.5734808
全家湖濱店,226593051,臺北市內湖區內湖路二段１０３巷１０４號,19222,25.0839428,121.5808218
全家新內湖店,227948239,臺北市內湖區成功路２段４２０號,52138,25.071227,121.589691
全家德陽店,227987160,臺北市內湖區文德路２２巷２５號,18963,25.076798,121.5799315
全家新東湖店,226317679,臺北市內湖區東湖路４３巷４號,50301,25.0691678,121.614207
全家新德明店,227996853,臺北市內湖區環山路一段１１０號,53284,25.0865525,121.5679806
全家行善店,227967192,臺北市內湖區行善路２８９號,52866,25.0616751,121.5841681
全家金瑞店,227934276,臺北市內湖區金龍路２２４號,51866,25.0882906,121.5866988
全家三合店,228946764,台北市北投區三合街一段１１６號１樓,59263,25.1270086,121.5041984
全家鑫復中店,225239913,台北市北投區中和街３２２號,62389,25.141102,121.499786
全家新和店,228912821,台北市北投區中和街４８９號,52067,25.1451129,121.4951934
全家新復興崗店,228910617,台北市北投區中央北路三段４號１樓,55782,25.1384645,121.4866126
全家文化店,228976316,台北市北投區中央北路二段９７號１樓,10833,25.136842,121.495158
全家義忠店,228945003,台北市北投區中央北路四段２９８號,62888,25.1313457,121.4729713
全家中央南路店,228911712,台北市北投區中央南路２段１５號１樓,57247,25.125821,121.5005383
全家清江店,228970433,台北市北投區中央里清江路１號，中央南路一段６３號,12774,25.1317464,121.5014454
全家甲桂林店,228725427,台北市北投區中山北路七段２１９巷３弄１７１號壹樓,55397,25.1285452,121.5308013
全家永興店,228947414,台北市北投區中庸里永興路一段１號、３號一樓,12462,25.1388601,121.4994013
全家北投店,228941595,台北市北投區光明路２１８之１號,10343,25.136169,121.5042869
全家光明店,228966631,台北市北投區光明路２３號，２５號,11789,25.132645,121.4991751
全家新奇岩店,228947281,台北市北投區公館路２３０號,53428,25.1263293,121.5079336
